sensor_reading_mA,pressure_bar,fit_pressure_bar,residual_bar
4.030000000000000249e+00,0.000000000000000000e+00,4.939266325418856241e-03,-4.939266325418856241e-03
4.509999999999999787e+00,3.099999999999999978e-01,3.042149469359172187e-01,5.785053064082779084e-03
5.099999999999999645e+00,6.700000000000000400e-01,6.720746376863218075e-01,-2.074637686321767482e-03
5.629999999999999893e+00,1.000000000000000000e+00,1.002524868360413990e+00,-2.524868360413989876e-03
6.120000000000000107e+00,1.310000000000000053e+00,1.308035458983631383e+00,1.964541016368670512e-03
6.700000000000000178e+00,1.669999999999999929e+00,1.669660239721316941e+00,3.397602786829878596e-04
7.219999999999999751e+00,1.989999999999999991e+00,1.993875560382690537e+00,-3.875560382690546035e-03
7.700000000000000178e+00,2.299999999999999822e+00,2.293151240993189788e+00,6.848759006810034577e-03
8.240000000000000213e+00,2.629999999999999893e+00,2.629836381680000557e+00,1.636183199993368476e-04
8.779999999999999361e+00,2.970000000000000195e+00,2.966521522366810437e+00,3.478477633189758222e-03
9.349999999999999645e+00,3.319999999999999840e+00,3.321911393091777853e+00,-1.911393091778013087e-03
9.910000000000000142e+00,3.669999999999999929e+00,3.671066353804026683e+00,-1.066353804026753949e-03
1.047000000000000064e+01,4.019999999999999574e+00,4.020221314516275513e+00,-2.213145162759388995e-04
1.097000000000000064e+01,4.330000000000000071e+00,4.331966815152211048e+00,-1.966815152210976692e-03
